"Date","Price","Open","High","Low","Vol.","Change %"
"09/24/2020","371.05","371.05","371.05","371.05","","0.00%"
"09/23/2020","371.05","371.30","371.84","369.76","","-0.07%"
"09/22/2020","371.30","370.51","371.30","370.51","","0.21%"
"09/21/2020","370.51","370.51","370.51","370.51","","-0.21%"
"09/18/2020","371.30","372.33","372.33","371.30","","-0.19%"
"09/17/2020","372.02","372.02","372.02","372.02","","0.00%"
"09/16/2020","372.02","371.23","372.80","371.23","","0.21%"
"09/14/2020","371.23","371.23","371.23","371.23","","4.30%"
"09/11/2020","355.92","355.92","355.92","355.92","","0.15%"
"09/10/2020","355.40","352.03","355.40","352.03","","4.84%"
"09/09/2020","338.99","338.99","338.99","338.99","","1.96%"
"09/08/2020","332.46","332.46","332.46","332.46","","0.36%"
"09/07/2020","331.28","333.86","333.86","331.28","","-2.13%"
"09/04/2020","338.50","334.17","338.50","331.80","","2.26%"
"09/03/2020","331.01","331.01","331.01","331.01","","0.00%"
"09/02/2020","331.01","331.01","331.01","331.01","","0.00%"
"08/31/2020","331.01","331.01","331.01","331.01","","0.12%"
"08/28/2020","330.62","331.01","331.01","330.62","","0.00%"
"08/27/2020","330.62","330.62","330.62","330.62","","-1.23%"
"08/26/2020","334.73","334.73","334.73","334.73","","0.00%"
"08/25/2020","334.73","334.73","334.73","334.73","","0.00%"
"08/24/2020","334.73","334.73","334.73","334.73","","0.12%"
"08/21/2020","334.32","334.32","334.32","334.32","","0.00%"
"08/20/2020","334.32","334.32","334.32","334.32","","0.00%"
"08/19/2020","334.32","334.32","334.32","334.32","","0.00%"
"08/18/2020","334.32","331.95","334.32","331.95","","0.71%"
"08/17/2020","331.95","331.95","331.95","331.95","","0.00%"
"08/14/2020","331.95","331.95","331.95","331.95","","0.00%"
"08/13/2020","331.95","331.95","331.95","331.95","","0.00%"
"08/12/2020","331.95","333.88","333.88","331.91","","-0.70%"
"08/11/2020","334.29","334.29","334.29","334.29","","-1.07%"
"08/10/2020","337.90","337.90","337.90","337.90","","0.00%"
"08/07/2020","337.90","327.16","338.69","327.16","","1.52%"
"08/06/2020","332.83","332.83","332.83","332.83","","0.84%"
"08/05/2020","330.07","330.07","330.07","330.07","","-0.83%"
"08/04/2020","332.83","332.83","332.83","332.83","","-0.49%"
"08/03/2020","334.47","331.38","334.47","331.38","","0.93%"
"07/31/2020","331.38","331.38","331.38","331.38","","0.00%"
"07/30/2020","331.38","331.38","331.38","331.38","","0.00%"
"07/29/2020","331.38","331.38","331.38","331.38","","0.00%"
