Date, Open, High, Low, Close
08/12/20, 627.40, 635.41, 626.54, 634.97
08/11/20, 619.71, 626.84, 619.71, 626.39
08/10/20, 627.79, 627.79, 613.75, 617.33
08/07/20, 641.33, 641.47, 631.14, 632.63
08/06/20, 639.37, 642.20, 635.89, 640.60
08/05/20, 633.50, 641.32, 633.50, 637.75
08/04/20, 616.64, 628.53, 615.12, 628.50
08/03/20, 617.58, 619.55, 613.33, 615.07
07/31/20, 620.75, 624.17, 612.31, 617.61
07/30/20, 629.68, 631.05, 618.86, 618.86
07/29/20, 634.18, 637.23, 629.30, 632.37
07/28/20, 629.04, 638.42, 629.04, 633.62
07/27/20, 638.09, 641.78, 626.05, 626.08
07/24/20, 633.49, 638.50, 628.43, 634.32
07/23/20, 646.16, 646.96, 634.64, 640.35
07/22/20, 633.90, 647.93, 630.26, 647.76
07/21/20, 656.60, 663.50, 630.34, 638.27
07/20/20, 641.83, 653.23, 638.20, 653.15
07/17/20, 637.71, 645.86, 634.90, 641.48
07/16/20, 636.66, 640.16, 630.98, 637.55
07/15/20, 631.54, 642.51, 630.94, 637.29
07/14/20, 626.74, 631.37, 619.53, 629.24
07/13/20, 636.22, 641.60, 623.02, 630.72
07/10/20, 633.31, 635.04, 629.75, 632.97
07/09/20, 639.84, 646.53, 635.09, 636.84
07/08/20, 644.35, 648.59, 640.28, 641.07
07/07/20, 652.36, 652.36, 642.62, 644.12
07/06/20, 664.52, 670.31, 655.71, 655.79
07/03/20, 663.99, 664.43, 655.94, 658.55
07/02/20, 645.12, 662.95, 645.12, 662.00
07/01/20, 640.63, 646.26, 634.77, 641.43
06/30/20, 638.01, 641.99, 632.59, 638.90
06/29/20, 641.71, 642.07, 633.41, 635.86
06/26/20, 653.27, 657.72, 641.95, 641.95
06/25/20, 661.39, 661.39, 650.23, 650.60
06/24/20, 673.86, 674.04, 661.67, 665.01
06/23/20, 671.62, 681.58, 671.62, 676.04
06/22/20, 666.19, 672.24, 665.03, 670.36
06/19/20, 665.22, 674.19, 664.01, 668.34
06/18/20, 671.60, 674.01, 660.29, 662.39
06/17/20, 676.63, 682.22, 671.54, 672.50
06/16/20, 653.70, 676.91, 653.70, 676.91
06/15/20, 644.23, 648.04, 630.39, 647.98
06/12/20, 640.23, 651.73, 638.02, 646.80
06/11/20, 655.28, 655.28, 640.51, 644.90
06/10/20, 680.31, 686.27, 662.41, 662.67
06/09/20, 684.46, 688.67, 676.14, 678.68
06/05/20, 673.80, 685.69, 673.80, 683.46
06/04/20, 672.88, 674.73, 658.90, 669.79
06/03/20, 674.52, 677.48, 671.82, 674.07
06/02/20, 662.32, 671.91, 662.32, 670.97
06/01/20, 653.87, 661.89, 652.81, 658.35
05/29/20, 662.71, 662.71, 650.48, 652.58
05/28/20, 662.41, 668.39, 656.15, 665.04
05/27/20, 636.83, 660.36, 632.23, 660.30
05/26/20, 627.99, 637.07, 623.71, 635.47
05/25/20, 612.33, 625.41, 612.22, 624.32
05/22/20, 603.43, 614.85, 601.75, 609.20
05/21/20, 611.14, 613.13, 605.75, 608.34
